순서,사용자 흐름,퍼널 단계,이벤트명,언제 발생하나,무엇을 분석하나,주요 데이터,구현 상태,GTM 상태,GA4 핵심 이벤트,검증 상태,최종 수정일,팀 참고사항
10,공통,화면 방문,page_view,최초 진입 및 화면 이동,화면별 방문량과 역할별 탐색 흐름,화면 경로; 화면 제목; 사용자 역할,구현 완료,초안 완료·미게시,아니요,Tag Assistant 확인,2026-07-26,GA4 자동 기록 페이지뷰는 중복 방지를 위해 꺼야 함
20,공통,역할 선택,role_selected,첫 화면에서 지원자 또는 공연사 선택,지원자와 공연사 진입 비율,사용자 역할; 진입 위치,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,개인정보 없음
30,지원자,공연 탐색,show_detail_viewed,공연 상세 화면 확인,어떤 공고에 관심이 생기는지,공연 ID; 모집 상태; 기존 지원 여부,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,지원자 ID는 보내지 않음
40,지원자,지원 시작,application_started,지원서 작성 화면 진입,상세 조회 대비 지원 시작률,공연 ID; 필수 제출 항목 수,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,공연별 1회 기록
50,지원자,지원 진행,application_step_completed,필수값을 채우고 다음 단계 이동,단계별 진행률과 이탈 구간,공연 ID; 단계 번호; 단계 이름,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,성공한 단계 이동만 기록
60,지원자,입력 오류,application_validation_failed,필수값 누락 상태에서 다음 단계 시도,어느 단계에서 입력 문제가 많은지,공연 ID; 단계; 누락 개수,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,누락된 실제 입력값은 보내지 않음
70,지원자,지원 완료,application_submitted,지원서 저장 성공 직후,지원 완료율과 제출 자료 구성,공연 ID; 배역·경력·사진·영상 개수; 프로필 재사용 여부,구현 완료,초안 완료·미게시,지정 예정,코드 검사 완료,2026-07-26,GA4에서 핵심 이벤트 지정 필요
80,공연사,공고 작성 시작,recruitment_create_started,공고 작성 화면 진입,공연사 작성 퍼널 진입률,진입 위치,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,개인정보 없음
90,공연사,공고 작성 진행,recruitment_previewed,공고 미리보기 열기,작성 중 미리보기 도달률과 공고 복잡도,배역 수; 제출 항목 수; 추가 질문 수,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,미리보기를 열 때 기록
100,공연사,공고 게시 완료,recruitment_created,공고 게시 저장 성공 직후,공고 작성 완료율,공연 ID; 배역 수; 제출 항목 수; 추가 질문 수,구현 완료,초안 완료·미게시,지정 예정,코드 검사 완료,2026-07-26,이번 후속 작업에서 코드와 GTM 트리거에 반영
110,공연사,지원자 검토,applicant_detail_viewed,지원자 상세 화면 확인,지원자 검토 활동량,공연 ID; 검토 상태,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,지원자 이름·연락처는 보내지 않음
120,공연사,검토 상태 저장,review_status_changed,지원자 검토 상태 저장 성공 직후,상태별 지원자 수와 검토 진행률,공연 ID; 이전 상태; 새 상태,구현 완료,초안 완료·미게시,아니요,코드 검사 완료,2026-07-26,내부 메모는 보내지 않음
